date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:08	962/962	---M--	200	added ('OK')	text/html	etag:%22642e7d68-3c2%22	https://previews.aspirity.com/robots.txt		(from )
09:39:10	33467/33467	---M--	200	added ('OK')	text/html	etag:%226437bcb0-82bb%22	https://previews.aspirity.com/spirit/?storefront=envato-elements	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/index04b9.html	(from )
09:39:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2002:39:19%20GMT	https://cdn.materialdesignicons.com/2.0.46/css/materialdesignicons.min.css	C:/My%20Web%20Sites/WEB%20CV/cdn.materialdesignicons.com/2.0.46/css/materialdesignicons.min.1.delayed	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:19	111/111	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2010%20Jan%202024%2002:39:21%20GMT	https://cdn.jsdelivr.net/mdi/2.0.46/css/materialdesignicons.min.css	C:/My%20Web%20Sites/WEB%20CV/cdn.jsdelivr.net/mdi/2.0.46/css/materialdesignicons.min.2.delayed	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:20	86891/86891	---M-Z	200	added ('OK')	text/css	etag:W/%221536b-owF90foviTSYDZtW7lXw7JIor2c%22	https://cdn.jsdelivr.net/npm/@mdi/font@2.0.46/css/materialdesignicons.min.css	C:/My%20Web%20Sites/WEB%20CV/cdn.jsdelivr.net/npm/@mdi/font@2.0.46/css/materialdesignicons.min.css	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:22	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	C:/My%20Web%20Sites/WEB%20CV/code.jquery.com/jquery-2.2.4.min.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:25	136730/136730	---M--	200	added ('OK')	text/css	etag:%226437bcb0-2161a%22	https://previews.aspirity.com/spirit/assets/css/main.css	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/css/main.css	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:25	19033/19033	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-4a59%22	https://previews.aspirity.com/spirit/assets/js/popper.min.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/popper.min.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:26	51143/51143	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-c7c7%22	https://previews.aspirity.com/spirit/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/bootstrap.min.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:27	18278/18278	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-4766%22	https://previews.aspirity.com/spirit/assets/js/run_prettify.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/run_prettify.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:29	242/242	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-f2%22	https://previews.aspirity.com/spirit/assets/js/menu.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/menu.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:30	453/453	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-1c5%22	https://previews.aspirity.com/spirit/assets/js/documentation.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/documentation.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
09:39:32	129/129	---M--	200	added ('OK')	application/javascript	etag:%226437bcb0-81%22	https://previews.aspirity.com/spirit/assets/js/modal.js	C:/My%20Web%20Sites/WEB%20CV/previews.aspirity.com/spirit/assets/js/modal.js	(from https://previews.aspirity.com/spirit/?storefront=envato-elements)
